N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한국금융지주,"107,500",0,0.00%,"5,000","59,905","55,726",32.97,"170,130",4.80,16.27,
60,SKC,"156,000","1,000",+0.65%,"5,000","59,075","37,868",13.25,"204,886","-2,476.19",2.21,
61,강원랜드,"27,200",100,-0.37%,500,"58,192","213,940",19.76,"358,686",-36.22,-7.92,
62,코웨이,"78,400","1,100",-1.38%,500,"57,859","73,800",59.02,"92,963",13.48,31.51,
63,현대중공업지주,"72,600",100,+0.14%,"1,000","57,349","78,993",17.25,"161,437",-25.36,-8.12,
64,아모레G,"65,000","1,400",-2.11%,500,"53,598","82,458",18.17,"230,159",127.45,0.31,
65,LG이노텍,"223,500","4,000",-1.76%,"5,000","52,896","23,667",31.48,"100,806",13.00,10.20,
66,삼성엔지니어링,"25,900",900,+3.60%,"5,000","50,764","196,000",31.34,"4,930,573",17.94,16.75,
67,신풍제약,"91,800",500,+0.55%,500,"48,640","52,985",10.23,"3,599,640","1,067.44",1.72,
68,한미사이언스,"72,200",400,-0.55%,500,"48,594","67,305",1.70,"86,713",175.67,3.47,
69,두산밥캣,"48,100",150,+0.31%,500,"48,220","100,249",25.79,"117,674",14.64,6.15,
70,맥쿼리인프라,"12,650",50,+0.40%,0,"47,082","372,192",14.83,"1,410,191",N/A,N/A,
71,오리온,"118,500","1,500",-1.25%,500,"46,850","39,536",38.92,"45,108",17.61,15.50,
72,팬오션,"8,580",310,+3.75%,"1,000","45,866","534,570",11.15,"29,002,496",36.51,3.25,
73,이마트,"164,500",500,-0.30%,"5,000","45,856","27,876",32.05,"121,296",11.34,4.05,
74,유한양행,"63,000",200,-0.32%,"1,000","44,083","69,973",18.31,"78,460",45.95,11.06,
75,한진칼,"66,100","1,800",-2.65%,"2,500","43,887","66,395",15.20,"112,280",-53.83,-19.55,
76,GS,"46,850",50,-0.11%,"5,000","43,531","92,915",19.12,"82,597",6.88,-2.82,
77,쌍용C&E,"8,600",40,+0.47%,100,"43,332","503,860",3.47,"1,103,668",31.39,7.92,
78,현대차2우B,"116,500","1,000",-0.85%,"5,000","42,506","36,485",61.38,"26,653",14.10,N/A,
79,롯데지주,"39,900",250,+0.63%,200,"41,859","104,909",8.45,"195,078",-98.03,-3.03,
80,삼성중공업,"6,640",50,-0.75%,"5,000","41,832","630,000",14.40,"2,120,090",-2.33,-33.06,
81,CJ대한통운,"180,500","2,000",+1.12%,"5,000","41,176","22,812",22.99,"43,974",34.30,3.89,
82,F&F,"535,000","3,000",-0.56%,500,"40,989","7,661",10.83,"17,428",N/A,N/A,
83,삼성증권,"45,750",650,+1.44%,"5,000","40,855","89,300",28.25,"249,279",5.23,9.89,
84,KODEX 200,"43,885",70,-0.16%,0,"40,747","92,850",3.98,"1,213,433",N/A,N/A,
85,삼성카드,"34,600",500,+1.47%,"5,000","40,087","115,859",8.51,"199,538",9.43,5.69,
86,DB손해보험,"55,600","1,700",+3.15%,500,"39,365","70,800",43.83,"256,358",6.35,9.08,
87,한미약품,"324,000","2,000",-0.61%,"2,500","39,134","12,078",13.43,"17,076",166.75,1.65,
88,대우조선해양,"36,200",250,+0.70%,"5,000","38,839","107,291",7.17,"147,811",-9.94,2.27,
89,호텔신라,"98,000",400,-0.41%,"5,000","38,463","39,248",19.81,"300,948",-18.55,-36.74,
90,현대오토에버,"140,000","3,500",-2.44%,500,"38,394","27,424",1.40,"67,091",49.89,11.09,
91,GS건설,"43,900","1,300",+3.05%,"5,000","37,570","85,581",26.43,"1,070,010",10.56,7.68,
92,녹십자,"320,000",500,+0.16%,"5,000","37,397","11,687",20.71,"23,346",37.35,7.48,
93,효성티앤씨,"846,000","6,000",-0.70%,"5,000","36,612","4,328",23.07,"33,662",14.29,25.10,
94,NH투자증권,"13,000",0,0.00%,"5,000","36,583","281,409",17.79,"377,683",4.87,10.32,
95,두산인프라코어,"15,300",550,-3.47%,"5,000","35,373","231,195",9.30,"9,244,845",14.56,6.47,
96,현대미포조선,"88,500",800,+0.91%,"5,000","35,349","39,942",10.55,"141,689",-108.06,-0.84,
97,키움증권,"134,500","4,500",+3.46%,"5,000","35,227","26,191",22.95,"237,757",3.59,27.63,
98,휠라홀딩스,"57,200","2,500",+4.57%,"1,000","34,750","60,752",45.80,"491,731",18.25,10.94,
99,대우건설,"8,270",390,-4.50%,"5,000","34,372","415,623",8.62,"6,504,485",9.29,11.06,
100,한국가스공사,"37,100",350,-0.93%,"5,000","34,248","92,313",6.97,"218,056",-17.45,-2.24,
